i,x,y
607,5347,7173
608,5373,7167
609,5356,7159
610,5360,7154
611,5379,7186
612,5374,7164
613,5353,7159
614,5368,7167
615,5376,7163
616,5350,7179
617,5377,7170
618,5377,7163
619,5360,7149
620,5351,7180
621,5369,7162
622,5376,7160
623,5354,7152
624,5357,7149
625,5381,7163
626,5353,7183
627,5346,7159
628,5345,7159
629,5351,7154
630,5377,7168
631,5376,7159
632,5352,7149
633,5381,7160
634,5376,7159
635,5385,7163
636,5360,7142
637,5385,7163
638,5381,7168
639,5342,7159
640,5350,7146
641,5386,7160
642,5376,7154
643,5360,7138
644,5381,7159
645,5389,7163
646,5385,7168
647,5390,7163
648,5360,7135
649,5357,7140
650,5367,7142
651,5393,7163
652,5390,7161
653,5357,7141
654,5386,7159
655,5386,7159
656,5390,7168
657,5375,7148
658,5395,7163
659,5374,7147
660,5340,7150
661,5397,7163
662,5373,7147
663,5353,7138
664,5367,7154
665,5393,7168
666,5360,7129
667,5390,7159
668,5331,7166
669,5398,7164
670,5395,7159
671,5374,7142
672,5381,7148
673,5394,7159
674,5399,7161
675,5397,7168
676,5356,7129
677,5386,7149
678,5360,7123
679,5381,7152
680,5400,7160
681,5338,7166
682,5337,7143
683,5395,7155
684,5329,7173
685,5402,7160
686,5356,7133
687,5335,7141
688,5350,7129
689,5391,7149
690,5405,7159
691,5360,7118
692,5334,7147
693,5403,7163
694,5336,7139
695,5407,7159
696,5407,7159
697,5399,7177
698,5331,7140
699,5327,7179
700,5350,7133
701,5345,7129
702,5378,7124
703,5400,7179
704,5410,7160
705,5370,7123
706,5406,7163
707,5411,7160
708,5145,6898
709,5144,6895
710,5145,6902
711,5139,6892
712,5139,6891
713,5151,6907
714,5153,6907
715,5150,6912
716,5144,6883
717,5144,6883
718,5141,6886
719,5141,6885
720,5144,6882
721,5153,6915
722,5142,6880
723,5157,6914
724,5157,6917
725,5154,6915
726,5156,6919
727,5137,6908
728,5156,6919
729,5157,6919
730,5155,6920
731,5156,6920
732,5153,6887
733,5154,6919
734,5154,6920
735,5136,6910
736,5146,6870
737,5161,6922
738,5133,6874
739,5141,6909
740,5159,6922
741,5151,6919
742,5158,6923
743,5164,6922
744,5159,6922
745,5165,6924
746,5152,6921
747,5167,6925
748,5140,6869
749,5149,6863
750,5168,6925
751,5153,6924
752,5155,6928
753,5146,6916
754,5151,6922
755,5151,6860
756,5159,6932
757,5159,6933
758,5142,6863
759,5175,6930
760,5155,6858
761,5175,6930
762,5144,6854
763,5159,6856
764,5151,6854
765,5181,6929
766,5119,6858
767,5180,6928
768,5148,6851
769,5181,6926
770,5121,6855
771,5162,6861
772,5165,6853
773,5122,6853
774,5115,6864
775,5173,6924
776,5163,6866
777,5183,6939
778,5170,6851
779,5113,6866
780,5172,6923
781,5125,6860
782,5186,6920
783,5118,6850
784,5183,6906
785,5171,6922
786,5155,6843
787,5167,6868
788,5174,6920
789,5172,6849
790,5115,6869
791,5159,6846
792,5190,6921
793,5183,6901
794,5105,6848
795,5130,6949
796,5118,6872
797,5158,6838
798,5171,6870
799,5162,6844
800,5167,6848
801,5170,6957
802,5188,6947
803,5172,6915
804,5165,6918
805,5126,6840
806,5156,6851
807,5105,6859
808,5120,6870
809,5174,6871
810,5184,6896
811,5107,6857
812,5169,6914
813,5170,6912
814,5180,6862
815,5177,6866
816,5172,6961
817,5168,6915
818,5179,6842
819,5182,6858
820,5176,6873
821,5126,6955
822,5162,6913
823,5102,6856
824,5102,6855
825,5168,6917
826,2940,4082
827,2937,4081
828,2937,4076
829,2948,4083
830,2933,4086
831,2931,4086
832,2953,4083
833,2943,4076
834,2931,4076
835,2953,4088
836,2949,4076
837,2926,4087
838,2953,4076
839,2925,4076
840,2935,4063
841,2937,4098
842,2920,4089
843,2932,4099
844,2959,4075
845,2919,4077
846,2941,4063
847,2929,4064
848,2917,4091
849,2967,4088
850,2947,4063
851,2916,4077
852,2914,4091
853,2932,4104
854,2926,4101
855,2965,4075
856,2923,4065
857,2914,4077
858,2953,4063
859,2948,4101
860,2933,4108
861,2933,4050
862,2908,4091
863,2933,4110
864,2931,4108
865,2920,4103
866,2947,4103
867,2917,4101
868,2972,4075
869,2958,4062
870,2917,4065
871,2927,4108
872,2908,4077
873,2930,4111
874,2940,4050
875,2927,4051
876,2915,4103
877,2921,4108
878,2903,4091
879,2946,4108
880,2924,4109
881,2913,4065
882,2946,4049
883,2926,4111
884,2921,4110
885,2977,4074
886,2944,4108
887,2964,4062
888,2911,4065
889,2902,4078
890,2949,4108
891,2922,4051
892,2945,4110
893,2918,4110
894,2961,4102
895,2952,4048
896,2909,4104
897,2897,4091
898,2985,4086
899,2933,4037
900,2914,4110
901,2979,4079
902,2954,4107
903,2905,4065
904,2896,4078
905,2970,4062
906,2984,4074
907,2931,4123
908,2957,4048
909,2916,4051
910,2985,4082
911,2961,4107
912,2966,4101
913,2991,4085
914,2903,4104
915,2890,4092
916,2927,4037
917,2940,4037
918,2959,4107
919,2964,4107
920,2913,4051
921,2926,4123
922,2945,4037
923,2989,4073
924,2936,4123
925,2899,4065
926,2890,4078
927,2989,4081
928,2977,4061
929,2966,4107
930,2971,4100
931,2910,4051
932,2963,4048
933,2990,4081
934,2921,4038
935,2886,4092
936,2996,4085
937,2950,4122
938,2897,4105
939,2945,4122
940,2903,4110
941,2968,4107
942,2922,4124
943,2951,4036
944,3390,4656
945,3391,4653
946,3388,4659
947,3392,4650
948,3393,4654
949,3391,4659
950,3387,4662
951,3392,4646
952,3386,4666
953,3379,4653
954,3396,4647
955,3378,4656
956,3388,4667
957,3380,4650
958,3395,4643
959,3384,4669
960,3377,4659
961,3381,4647
962,3396,4640
963,3383,4672
964,3393,4668
965,3376,4663
966,3399,4641
967,3386,4673
968,3397,4637
969,3382,4643
970,3394,4671
971,3394,4665
972,3396,4665
973,3385,4676
974,3367,4649
975,3394,4663
976,3375,4666
977,3383,4640
978,3398,4633
979,3399,4663
980,3366,4652
981,3374,4670
982,3367,4646
983,3376,4641
984,3384,4637
985,3400,4630
986,3365,4656
987,3368,4643
988,3373,4673
989,3372,4640
990,3403,4665
991,3396,4629
992,3386,4633
993,3380,4635
994,3401,4625
995,3364,4660
996,3369,4640
997,3377,4635
998,3372,4677
999,3404,4628
1000,3406,4667
1001,3361,4641
1002,3356,4646
1003,3386,4630
1004,3383,4688
1005,3362,4663
1006,3374,4634
1007,3355,4650
1008,3372,4680
1009,3356,4643
1010,3395,4687
1011,3382,4629
1012,3387,4626
1013,3382,4692
1014,3362,4666
1015,3357,4637
1016,3371,4632
1017,3379,4628
1018,3354,4653
1019,3371,4683
1020,3353,4642
1021,3388,4623
1022,3395,4683
1023,3411,4622
1024,3361,4670
1025,3376,4627
1026,3354,4657
1027,3347,4644
1028,3354,4634
1029,3374,4626
1030,3360,4673
1031,3348,4641
1032,3346,4647
1033,3389,4618
1034,3386,4699
1035,3420,4668
1036,3345,4650
1037,3350,4630
1038,3396,4699
1039,3391,4616
1040,3359,4677
1041,3387,4701
1042,3406,4683
1043,3386,4616
1044,3408,4639
1045,3396,4701
1046,3352,4630
1047,3344,4654
1048,3358,4680
1049,3384,4614
1050,3397,4702
1051,3402,4684
1052,3406,4687
1053,3391,4699
1054,3389,4705
1055,3337,4642
1056,3396,4704
1057,3367,4697
1058,3420,4613
1059,3390,4706
1060,3392,4699
1061,3343,4658
1062,4188,5676
1063,4190,5679
1064,4185,5673
1065,4182,5669
1066,4195,5685
1067,4178,5666
1068,4194,5687
1069,4191,5689
1070,4202,5662
1071,4174,5662
1072,4202,5691
1073,4197,5660
1074,4173,5660
1075,4204,5694
1076,4193,5659
1077,4206,5664
1078,4187,5684
1079,4186,5694
1080,4170,5657
1081,4187,5657
1082,4185,5655
1083,4207,5698
1084,4200,5698
1085,4182,5688
1086,4210,5683
1087,4181,5700
1088,4180,5652
1089,4210,5701
1090,4209,5682
1091,4212,5686
1092,4209,5681
1093,4177,5688
1094,4195,5703
1095,4176,5675
1096,4214,5705
1097,4214,5665
1098,4176,5704
1099,4175,5693
1100,4159,5647
1101,4217,5690
1102,4173,5703
1103,4216,5662
1104,4209,5707
1105,4216,5708
1106,4211,5662
1107,4172,5679
1108,4189,5708
1109,4217,5660
1110,4220,5693
1111,4218,5659
1112,4222,5665
1113,4190,5642
1114,4219,5658
1115,4222,5672
1116,4168,5682
1117,4218,5671
1118,4204,5712
1119,4215,5655
1120,4168,5641
1121,4170,5710
1122,4222,5696
1123,4215,5655
1124,4206,5657
1125,4153,5640
1126,4215,5654
1127,4169,5712
1128,4184,5713
1129,4224,5674
1130,4167,5666
1131,4205,5656
1132,4223,5715
1133,4222,5653
1134,4214,5650
1135,4226,5700
1136,4223,5652
1137,4173,5637
1138,4163,5669
1139,4222,5656
1140,4224,5651
1141,4222,5651
1142,4218,5717
1143,4224,5653
1144,4232,5665
1145,4198,5717
1146,4228,5678
1147,4179,5718
1148,4226,5655
1149,4162,5712
1150,4166,5702
1151,4230,5702
1152,4199,5650
1153,4146,5633
1154,4159,5672
1155,4159,5659
1156,4232,5681
1157,4214,5722
1158,4237,5667
1159,4193,5722
1160,4157,5675
1161,4234,5684
1162,4156,5662
1163,4232,5725
1164,4174,5724
1165,4234,5664
1166,4163,5694
1167,4241,5671
1168,4227,5726
1169,4232,5641
1170,4236,5668
1171,4214,5640
1172,4140,5626
1173,4156,5698
1174,4155,5651
1175,4233,5640
1176,4208,5728
1177,4159,5695
1178,4170,5726
1179,4239,5687
1180,4282,5796
1181,4280,5799
1182,4286,5793
1183,4278,5800
1184,4276,5790
1185,4289,5803
1186,4274,5803
1187,4274,5791
1188,4286,5805
1189,4280,5786
1190,4292,5799
1191,4272,5795
1192,4284,5807
1193,4294,5807
1194,4269,5798
1195,4270,5783
1196,4279,5809
1197,4291,5810
1198,4268,5791
1199,4287,5810
1200,4297,5805
1201,4268,5784
1202,4298,5807
1203,4288,5812
1204,4274,5779
1205,4265,5794
1206,4282,5812
1207,4265,5787
1208,4273,5809
1209,4302,5809
1210,4286,5816
1211,4262,5805
1212,4303,5807
1213,4270,5810
1214,4271,5812
1215,4263,5774
1216,4261,5790
1217,4260,5772
1218,4265,5809
1219,4306,5815
1220,4266,5771
1221,4257,5793
1222,4258,5778
1223,4258,5770
1224,4265,5769
1225,4254,5812
1226,4264,5823
1227,4262,5767
1228,4253,5798
1229,4254,5781
1230,4311,5821
1231,4254,5774
1232,4292,5822
1233,4250,5815
1234,4251,5779
1235,4298,5823
1236,4268,5827
1237,4260,5827
1238,4249,5801
1239,4249,5784
1240,4251,5762
1241,4248,5810
1242,4248,5818
1243,4249,5777
1244,4273,5833
1245,4317,5826
1246,4257,5830
1247,4247,5804
1248,4264,5831
1249,4255,5758
1250,4246,5779
1251,4250,5822
1252,4300,5829
1253,4304,5829
1254,4247,5766
1255,4244,5786
1256,4246,5813
1257,4278,5835
1258,4257,5757
1259,4270,5837
1260,4285,5831
1261,4305,5831
1262,4258,5755
1263,4260,5834
1264,4243,5807
1265,4321,5831
1266,4253,5826
1267,4297,5832
1268,4241,5781
1269,4239,5788
1270,4242,5816
1271,4282,5836
1272,4242,5769
1273,4244,5753
1274,4282,5829
1275,4267,5842
1276,4323,5829
1277,4302,5835
1278,4239,5772
1279,4290,5836
1280,4240,5829
1281,4264,5838
1282,4316,5836
1283,4238,5812
1284,4236,5792
1285,4325,5826
1286,4247,5750
1287,4236,5776
1288,4286,5841
1289,4248,5841
1290,4239,5757
1291,4243,5832
1292,4266,5749
1293,4328,5823
1294,4233,5796
1295,4233,5831
1296,4232,5773
1297,4233,5816
1298,4414,5965
1299,4416,5961
1300,4416,5960
1301,4413,5959
1302,4421,5965
1303,4410,5958
1304,4419,5954
1305,4413,5955
1306,4421,5955
1307,4414,5953
1308,4407,5958
1309,4426,5967
1310,4423,5957
1311,4425,5959
1312,4408,5963
1313,4414,5950
1314,4410,5967
1315,4424,5949
1316,4410,5968
1317,4402,5956
1318,4430,5970
1319,4412,5969
1320,4427,5955
1321,4429,5953
1322,4419,5946
1323,4434,5972
1324,4404,5967
1325,4426,5943
1326,4420,5976
1327,4416,5941
1328,4396,5955
1329,4409,5976
1330,4416,5941
1331,4407,5967
1332,4436,5969
1333,4394,5956
1334,4432,5955
1335,4437,5975
1336,4421,5979
1337,4423,5940
1338,4438,5976
1339,4438,5976
1340,4425,5979
1341,4430,5938
1342,4416,5936
1343,4424,5938
1344,4424,5981
1345,4415,5935
1346,4437,5958
1347,4428,5936
1348,4432,5982
1349,4390,5960
1350,4425,5936
1351,4436,5950
1352,4433,5940
1353,4426,5934
1354,4437,5950
1355,4407,5985
1356,4416,5931
1357,4440,5962
1358,4440,5960
1359,4439,5955
1360,4424,5933
1361,4434,5983
1362,4410,5931
1363,4440,5953
1364,4405,5945
1365,4418,5928
1366,4439,5946
1367,4413,5929
1368,4385,5955
1369,4406,5991
1370,4425,5929
1371,4444,5964
1372,4432,5987
1373,4450,5978
1374,4384,5966
1375,4420,5929
1376,4415,5926
1377,4432,5927
1378,4392,5973
1379,4399,5984
1380,4427,5927
1381,4442,5949
1382,4405,5994
1383,4401,5941
1384,4386,5968
1385,4430,5990
1386,4454,5980
1387,4439,5929
1388,4422,5925
1389,4424,5924
1390,4381,5960
1391,4405,5997
1392,4421,5921
1393,4429,5924
1394,4403,5939
1395,4380,5950
1396,4441,5970
1397,4399,5988
1398,4445,5952
1399,4414,5920
1400,4420,5919
1401,4441,5927
1402,4401,5988
1403,4410,5920
1404,4443,5971
1405,4439,5969
1406,4450,5957
1407,4393,5949
1408,4436,5920
1409,4378,5963
1410,4428,5996
1411,4423,5917
1412,4413,5917
1413,4377,5953
1414,4437,5919
1415,4449,5955
1416,5049,6775
1417,5054,6774
1418,5049,6770
1419,5061,6772
1420,5060,6779
1421,5064,6782
1422,5059,6785
1423,5057,6787
1424,5070,6776
1425,5054,6789
1426,5053,6790
1427,5050,6761
1428,5074,6772
1429,5051,6792
1430,5047,6764
1431,5048,6794
1432,5050,6796
1433,5046,6792
1434,5047,6778
1435,5044,6756
1436,5044,6792
1437,5045,6783
1438,5045,6796
1439,5043,6789
1440,5067,6763
1441,5081,6792
1442,5058,6804
1443,5049,6800
1444,5085,6761
1445,5039,6750
1446,5082,6789
1447,5039,6801
1448,5036,6784
1449,5079,6796
1450,5073,6759
1451,5053,6749
1452,5052,6804
1453,5055,6751
1454,5042,6804
1455,5089,6756
1456,5064,6810
1457,5078,6759
1458,5079,6801
1459,5074,6794
1460,5028,6758
1461,5087,6755
1462,5087,6754
1463,5092,6754
1464,5077,6804
1465,5034,6809
1466,5038,6808
1467,5077,6764
1468,5089,6752
1469,5047,6742
1470,5046,6812
1471,5061,6744
1472,5088,6776
1473,5097,6749
1474,5061,6813
1475,5079,6810
1476,5028,6807
1477,5043,6811
1478,5044,6739
1479,5094,6749
1480,5082,6747
1481,5090,6773
1482,5065,6741
1483,5017,6757
1484,5025,6746
1485,5051,6737
1486,5041,6737
1487,5024,6805
1488,5065,6817
1489,5092,6775
1490,5092,6810
1491,5025,6818
1492,5101,6744
1493,5040,6744
1494,5062,6738
1495,5064,6809
1496,5024,6813
1497,5102,6742
1498,5103,6744
1499,5053,6818
1500,5069,6736
1501,5037,6734
1502,5104,6746
1503,5054,6819
1504,5058,6737
1505,5064,6735
1506,5051,6819
1507,5035,6732
1508,5011,6763
1509,5051,6728
1510,5055,6822
1511,5036,6744
1512,5050,6821
1513,5100,6777
1514,5031,6823
1515,5097,6816
1516,5034,6738
1517,5089,6820
1518,5099,6817
1519,5076,6733
1520,5034,6797
1521,5089,6787
1522,5032,6740
1523,5104,6754
1524,5111,6751
1525,5078,6731
1526,5028,6728
1527,5093,6734
1528,5013,6825
1529,5012,6740
1530,5092,6733
1531,5036,6816
1532,5014,6791
1533,5077,6830
1534,5233,7011
1535,5230,7011
1536,5240,7011
1537,5230,7006
1538,5229,7003
1539,5232,7004
1540,5219,7011
1541,5247,7011
1542,5233,7026
1543,5232,7007
1544,5218,7014
1545,5236,7003
1546,5254,7011
1547,5239,7001
1548,5227,6993
1549,5222,7013
1550,5239,7026
1551,5240,7001
1552,5237,7007
1553,5239,6999
1554,5212,7014
1555,5243,6999
1556,5240,7031
1557,5227,7013
1558,5221,7018
1559,5261,7012
1560,5245,7000
1561,5240,7008
1562,5243,6997
1563,5247,7026
1564,5206,7013
1565,5222,6987
1566,5213,7020
1567,5238,7034
1568,5208,7007
1569,5228,7018
1570,5244,6994
1571,5245,6997
1572,5244,7003
1573,5215,7022
1574,5249,6998
1575,5240,7034
1576,5246,7031
1577,5201,7008
1578,5226,7018
1579,5242,6989
1580,5250,6999
1581,5268,7011
1582,5217,7024
1583,5253,7026
1584,5217,7016
1585,5249,6994
1586,5269,7011
1587,5261,7004
